GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java,com.thealgorithms.strings.zigZagPattern,zigZagPattern,96,0,14,0,21,0,9,0,2,0
Java,com.thealgorithms.datastructures.trees,Main,82,0,8,0,22,0,8,0,4,0
Java,com.thealgorithms.datastructures.trees,RedBlackBST.Node,30,0,0,0,5,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTRecursive,376,0,70,0,101,0,50,0,15,0
Java,com.thealgorithms.datastructures.trees,Node,132,0,24,0,40,0,18,0,6,0
Java,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalanced.BinaryTree,9,0,0,0,2,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,BSTIterative,486,0,92,0,140,0,55,0,9,0
Java,com.thealgorithms.datastructures.trees,LevelOrderTraversalHelper,68,0,12,0,20,0,10,0,4,0
Java,com.thealgorithms.datastructures.trees,AVLTree,514,0,74,0,126,0,54,0,17,0
Java,com.thealgorithms.datastructures.trees,AVLSimple,284,0,34,0,51,0,26,0,9,0
Java,com.thealgorithms.datastructures.trees,CreateBSTFromSortedArray,147,0,2,0,21,0,5,0,4,0
Java,com.thealgorithms.datastructures.trees,NRKTree,56,0,6,0,17,0,6,0,3,0
Java,com.thealgorithms.datastructures.trees,BinaryTree,397,0,64,0,114,0,43,0,11,0
Java,com.thealgorithms.datastructures.trees,TrieImp.TrieNode,13,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,RedBlackBST,896,0,104,0,228,0,66,0,14,0
Java,com.thealgorithms.datastructures.trees,ValidBSTOrNot.Node,15,0,0,0,4,0,1,0,1,0
Java,com.thealgorithms.datastructures.trees,TreeRandomNode,62,0,2,0,18,0,5,0,4,0
Java,com.thealgorithms.datastructures.trees,TreeNode,12,0,0,0,4,0,1,0,1,0
